,tweet,label
44,"Siapapun yg ngadain Polling Pak @aniesbaswedan sll jadi Pemenang. Rakyat, khususnya Kaum Muda dan Kaum terpelajar sangat menghendaki Indonesia dipimpin Orang Baik, Orang Bersih. Org yg. Punya Integritas tinggi.",netral
45,"Kami (rakyat) dukung 100% parpol yg mencalonkan Bpk @aniesbaswedan  sebagai capres di 2024, HARGA MATI !!!",pro
46,@f_fathur @aniesbaswedan @S0BATANIES @anies_sobat @sobat_anies @PDemokrat @PKSejahtera @NasDem 😂😂😂,kontra
47,@Khojan7 @Stevaniehuangg @jokowi @aniesbaswedan @prabowo wkwkwkw stok banyak santuy   PDIP biasa last minute😂  lu bole cakar2 an dahdlu😂,kontra
48,"@naaoolll @AkuAtikaFaya @aniesbaswedan Lucu sekali dia yang mulia, hahaha  https://t.co/3ywUumabZg",kontra
49,@bumnbersatu @aniesbaswedan @ganjarpranowo @jokowi @Asa24ri1officia  https://t.co/x5DGEU1ZLE,netral
50,@sigitwid @aniesbaswedan  https://t.co/oxOzP9fbDs,netral
51,@MardaniAliSera @aniesbaswedan Uraaaaa.. Mantap 2024 Anies Baswedan Presiden,pro
52,"@ChusnulCh__ @aniesbaswedan Proyek unfaedah, cuman buat pencitraan doang...😂😂",kontra
53,"Ada yg menarik dr video makan bersama orang2 hebat tsb yakni adanya Viktor Laiskodat, Gubernur NTT yg duduk disamping kiri Bang @aniesbaswedan.  InsyaaAllah Indonesia Timur akan mjd lumbung suara kemenangan Bang @aniesbaswedan &amp; @AgusYudhoyono pd 2024 jika tjd perkawinan politik.",pro
54,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Nggak kapok kapok ya.. dari 2019 mainannya survey melulu.. udah kagak ngaruh sekarang yg begituan...,kontra
55,Pasangan ideal @aniesbaswedan  @AgusYudhoyono seksi sekali 😚  Retweet yuk teman2 ku 🤝  https://t.co/MowbjMTmQl,netral
56,Kode keras. Trah Gus Dur akan mendukung Pak @aniesbaswedan,pro
57,@medcom_id @aniesbaswedan Siapa juga yg memilih .,kontra
58,@YanHarahap @AgusYudhoyono @aniesbaswedan AHY Hanya Numpang tenar 😂😂,kontra
59,Masa jabatan Anies Baswedan sebagai Gubernur DKI Jakarta kurang dari sebulan. Anies menyebut sisa waktu jabatannya berakhir ini sebagai 'masa panen'.  https://t.co/6s3QwSgpoQ,netral
60,"@sigitwid @psi_id @aniesbaswedan Mau nanya psi itu partai apa ormas sih,",netral
61,Pak @aniesbaswedan bukan Sosok yg Nafsu Jabatan. Beliau ingin menjadikan Indonesia sbg Negara yg Merdeka dan Berdiri di atas Kemampuan sendiri. Siap mendukungmu pak.  https://t.co/trL5qfRe1s,pro
62,"@sigitwid @psi_id @aniesbaswedan Selama masih d pimpin mahasiswa DO, gak usah sok idealis bong.  Terbukti sikap Kya gini, kalian kehilangan bbrp kader potensial. 😂🧕",netral
63,"@sigitwid @psi_id @aniesbaswedan Pak anis di dukung partai sampean malah kacau, mending gak usah",kontra
64,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Aamiin..... Semoga ditangan pak Anies Baswedan Indonesia jadi aman damai makmur dan sejahtera.,pro
65,@ChusnulCh__ @Uki23 @aniesbaswedan Lah kecebong saja yg sibuk ngurusin Anis.... Tapi gak sibuk ngurusin Ganjar...,kontra
66,@aniesbaswedan @DKIJakarta @mrtjakarta Paham kan ?  https://t.co/JMDe8q5wcy,netral
67,"@JoegejeGeje @Stevaniehuangg @jokowi Besok 2024 yg jadi presiden @aniesbaswedan atau @prabowo gak ada masalah bagi rakyat oposisi,,pertanyaannya PDIP mau nyalonin siapa????",netral
68,"@CNNIndonesia Ternyata memang Anies Baswedan tak pantas jadi mentri , pantasnya mmg sudah pas jadi Presiden.",pro
69,Yenni Wahid bertemu dengan Gubernur Jakarta @aniesbaswedan di Jakarta...  https://t.co/Djnj0aNZO3,netral
70,@YokoSetyoso @aniesbaswedan @KhofifahIP Yuk pak buat jaringan relawan @aniesbaswedan sebagai capres dan @KhofifahIP sebagai cawapres RI Periode 2024 - 2029. Anies-Khofifah Untuk Indonesia berdaulat~,pro
71,"MILAD MAJLIS ROSHO KE 14  Hatur nuwun Pak @aniesbaswedan atas ucapannya. Berkah Rahmat serta Ridlo-Nya kagem njenengan &amp; jajarannya jg keluarga njenengan.   Tiada teristimewa kecintaan kita umat manusia atas ijin-NYA teruntuk Manusia Mulia, Sayyidina Muhammad SAW. #MiladRoaho14  https://t.co/C4yetjQ6KL",pro
72,@naaoolll @aniesbaswedan Amit2!!! Rusak indonesia!,kontra
73,"@AkuAtikaFaya @aniesbaswedan Trus mau nya lbh baik dimesjid nya dibagi brosur ahok anak Tuhan? Ini cwe yg kmaren ngeledekin JIS dipake cm buat sholat aja, pdhl lbh dulu dipake natalan.",kontra
74,"@aLy_Bima @prabowo @aniesbaswedan @Gerindra mending pak @prabowo jadi king maker aja, sudah terbukti 😁",pro
75,@republikaonline Tapal kuda bukan di lenteng agung...buatan pa anies baswedan kan....salah nih berita....,kontra
76,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Banyak yang semakin MERIANGGGGGGGGGGGG😄,netral
