,tweet,label
41,Presiden RI Joko Widodo akan membentuk tim khusus utk menindaklanjuti surat balasan FIFA yg mencantumkan sejumlah poin transformasi sepak bola Indonesia menyusul Tragedi Kanjuruhan. Tim tsb akan berbeda dengan TGIPF Tragedi Kanjuruhan yg saat ini sedang bekerja. #MostUpdate1058,netral
42,"Kepala dinas kesehatan Kab. Malang Wiyanto : "" Santunan korban meninggal tragedi Kanjuruhan Malang mencapai 100 Juta lebih per orang, sumbangan diantaranya dari Presiden, Gubernur, Bupati dan Masyarakat""  https://t.co/diCvWlAthi",pro
43,TGIPF Ungkap Pengakuan LIB : Laga Malam Hari Arema FC Vs Persebaya Permintaan Indosiar  https://t.co/y6hQMdWFqQ baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxScVr9   #tragedikanjuruhan #aremafc #aremafcvspersebaya #tgipf #indosiar,kontra
44,"Kepala dinas kesehatan Kab. Malang Wiyanto memastikan informasi yang beredar adanya beberapa Jenazah korban Tragedi Kanjuruhan Malang yang belum teridentifikasi adalah Hoax, seluruh jenazh korban Kanjuruhan total 132 sudah teridentifikasi semua.  https://t.co/Oj3IWaRIR0",netral
45,"@alisyarief Tidak ada keharusan mundur. Kalian, para 🦎🦎🦎 hanya tidak ingin prestasi @PSSI menjadi lebih baik, karena presiden RI adalah Pak Jokowi. Hati kalian lebih busuk dari bangkai, dan lebih menjijikkan dari belatung pemakan bangkai !  Politisasi Tragedi Kanjuruhan!  @KEMENPORA_RI",kontra
46,Alvin Lim Curiga Tragedi Kanjuruhan Disengaja demi Balas Jasa ke Ferdy Sambo: Gak Sangka Korban Banyak  https://t.co/OzL9tfpPuq,kontra
47,Brigjen TNI Bangun Ungkap Kisah Pilu Pendiri Aremania Hilang Usai Tragedi Kanjuruhan  https://t.co/qSIMVguYnG,pro
48,#SelamatPagiJogja | Tribun Jogja : Nestapa Belum Sirna. Korban Tewas Tragedi Kanjuruhan Bertambah.,netral
49,"Berita Bola07 - Bertambah, Korban Jiwa Tragedi Kanjuruhan jadi 132 Orang - - Link :  https://t.co/Yay13MfzqX  - #beritaViral #BeritaTerkini #Bola #berduka #sepakbolapialadunia #SepakatDamai #sporter #penonton #liga  https://t.co/H1dKgBmG1M",netral
50,"Kenapa tv swasta (indosiar) ikut diperiksa dalam tragedi kanjuruhan? Apa hubungannya? Sy bukannya membela tv swasta tsb , tapi aneh saja tv kok dijadikan saksi ..apalagi sampai tersangka. Jelas² penyebab ini semua gas air mata yg ditembakan oleh polisi!",kontra
51,"Direktur Utama PT Liga Indonesia Baru (LIB), Akhmad Hadian Lukita dan tiga anggota Polri yang jadi tersangka Tragedi Kanjuruhan, akan diperiksa di Mapolda Jatim, hari ini. #MostUpdate1058",pro
52,Tragedi Kanjuruhan: Orang Kuat di Balik Jam Malam Arema Vs Persebaya  https://t.co/bKfIEvNJIK,pro
53,"Gegara Tragedi Kanjuruhan, FIFA Bakal Berkantor di Indonesia: Awas Nanti PSSI Caper  https://t.co/pacSqy7353",kontra
54,@ajengcute16__ Beetuuul uumpaan laambuung Siis. Jg sekaligus buat mengalihkan isu netizen dari masalah besar yg hingga hr ini masih mnjadi keprihatinan kita semua : #TragediKanjuruhan,kontra
55,@DivHumas_Polri Lagi mencari keseimbangan dg kasus tragedi Kanjuruhan yg kontroversial ??!!,kontra
56,Rocky Gerung Heran Jokowi Salahkan Pintu dan Tangga di Tragedi Kanjuruhan: Kan Kepanikan Datangnya dari Gas Air Mata..  https://t.co/woSd6DHH4Z,pro
57,"Pagi dipertengahan oktober tapi masih belum juga melihat sikap, tuntutan, dan official statement @persib terkait tragedi kanjuruhan. Enya sih apal haji umuh cees ibul, ngan nya selama klub voterna balad orang-orang pssi kabeh mah nya bakal hese revolusina ge.",kontra
58,"Polisi Sebut Penggunaan Gas Air Mata di Tragedi Kanjuruhan Sudah Sesuai Prosedur, Rocky Gerung: Bunuh, Investigasi, Ngarang  https://t.co/tJcp3D2fHR",pro
59,"Sambil Terbata-bata, Direktur Utama PT LIB Siap Bertanggung Jawab atas Tragedi Kanjuruhan  https://t.co/ZpwAv4rZrw  https://t.co/pMGi1h0opV",pro
60,"@PSSI ini bner bner harus di revolusi total  Wartawan nanya dmna kantor PSSI ko jawabannya malah gtu. Ini bentuk Klo PSSI sama sekali ga bertransparansi, bahkan tidak merasa bersalah ketika #TragediKanjuruhan   Ketua pulang lewat jalur belakang Takut di gruduk kantornya ya pak?",kontra
61,Tragedi Kanjuruhan Bawa Hikmah Besar dalam Tata Kelola Sepakbola Tanah Air  https://t.co/cWlVdpKzKS,pro
62,Yunus Nusi bicara terkait Tragedi Kanjuruhan saat Kongres PSSI Aceh -  https://t.co/0SYbV6vICw  https://t.co/cF0HiJoCJ6,pro
63,"Para CEBONG sedang sibuk berbagi TUGAS 1. Tragedi Kanjuruhan, 2. Nasdem dg AB, 3. IKN 160 thn,  4. Ijazah Ojokuwi,  5. Kereta Lambat   Hanya @ChusnulCh__  yg masih rajin melayani den BOKEP",kontra
64,Korban meninggal dunia Tragedi Stadion Kanjuruhan bertambah satu orang atas nama Helen Prisella usia 21 tahun. Korban merupakan pasien di RSU Saiful Anwar Malang.   SIMAK! Kadinkes Kab. Malang - Wiyanto W  https://t.co/RPXYcBptyU,pro
65,TGIPF segera menuntaskan proses pencarian fakta dan keterangan mengenai penyebab terjadinya tragedi Kanjuruhan. Hasil laporan itu akan segera diserahkan kepada Presiden Joko Widodo pada Jumat pekan ini. #Olahraga #AdadiKompas  https://t.co/PtMW2leISN,pro
66,"@Dennysiregar7 Para CEBONG sedang sibuk berbagi TUGAS 1. Tragedi Kanjuruhan, 2. Nasdem dg AB, 3. IKN 160 thn 4. Ijazah Ojokuwi  Hanya @ChusnulCh__  yg masih rajin melayani den BOKEP",kontra
67,"Persib vs Persija Terhenti Imbas Tragedi Kanjuruhan, PSSI Bocorkan Kelanjutan BRI Liga 1 Musim 2022-2023  https://t.co/k5ua5lW7qQ  https://t.co/mMS4fUIxs5",pro
68,TGIPF segera menuntaskan proses pencarian fakta dan keterangan mengenai penyebab terjadinya tragedi Kanjuruhan. Hasil laporan itu akan segera diserahkan kepada Presiden Joko Widodo pada Jumat pekan ini. #Olahraga #AdadiKompas   https://t.co/Bx7vGO9aBt,pro
69,Update !! Korban tragedi Kanjuruhan jadi 132 orang meninggal - ANTARA News Bengkulu  https://t.co/NTBMDUwZWA,netral
70,"Lolos Sanksi FIFA, Borneo FC Langsung Gelar Latihan   https://t.co/7AOvO4XU7z  #beritabola #borneofc #samarinda #liga1 #ligaindonesia #latihan  #pesutetam #SanksiFIFA #FIFA #TragediKanjuruhan #salingsupport #sepakbola",netral
71,"@MafiaWasit Boikot dulu Liga, sampai ketum PSSI n  Polisi berani bertanggung jawab atas  tragedi Kanjuruhan..!!!",kontra
72,BEBERAPA KORBAN TRAGEDI KANJURUHAN ALAMI PENDARAHAN MATA  https://t.co/8KXsvHqfjc,pro
73,"Polresta Malang Gelar Sujud Massal atas Tragedi Kanjuruhan, Warganet Penasaran Tak sejak Awal Permintaan Maaf Dilakukan  https://t.co/C2FfSQO77n",pro
74,Bantahan Indosiar Terkait Jam Tayang Arema Fc vs Persebaya Sebelum Tragedi Kanjuruhan   https://t.co/NQ4yoI05pA,pro
75,#tragedikanjuruhan  Lima Poin FIFA untuk Pembenahan Sepakbola Indonesia   https://t.co/pXFfZdKmdJ  #sepakbola #FIFA #PSSI #Bola #bolaindonesia #KanjuruhanDisaster #UsutTuntasTragediKanjuruhan  #sepakbolaindonesia #beritabola,netral
76,"Tragedi Kanjuruhan Telan Ratusan Korban, PKAD: Ada Dugaan Kuat Pelanggaran Aparat Keamanan   https://t.co/Wrvs1dFxUH  Follow Tele:  https://t.co/Qixfm7vC2H IG:  https://t.co/Ybzqt2Zysj  #tintamedia  Melanjutkan Kehidupan Islam #IstiqomahDakwahkanIslamKaffah Menjadi Muslim Seutuhnya",pro
77,"@KompasTV Ora Urus!! Arep dilantik kek ora kek Prett!! Ngurusi kasus Tragedi Kanjuruhan wes mulai anget! pelan tapi pasti akan menuju Ikhlas dan Lupa! Tragedi di Negeri ini! Semoga tidak Mudah diikhlaskan, dimaafkan dan dilupakan!! #UsutTuntasTragediKanjuruhan ✊",kontra
78,Tragedi Kanjuruhan: Orang Kuat di Balik Jam Malam Arema Vs Persebaya  https://t.co/4wPkyxZ63b,netral
79,Khofifah mengungkapkan bahwa ada 131 orang yang meninggal dunia yang terdampak dari tragedi Kanjuruhan.  https://t.co/J69wh487qx,pro
